City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
110,Lagoa,PT,2020-04-18 03:17:40,39.05,-27.98,60.37,72,58,11.7,broken clouds,0.0,0.0
111,Grand Gaube,MU,2020-04-18 03:17:40,-20.01,57.66,77.0,83,75,12.75,shower rain,0.0,0.0
112,Narsaq,GL,2020-04-18 03:17:41,60.92,-46.05,28.4,63,69,9.17,broken clouds,0.0,0.0
113,Manbij,SY,2020-04-18 03:17:41,36.53,37.95,48.2,87,0,2.24,clear sky,0.0,0.0
114,Longyearbyen,SJ,2020-04-18 03:14:54,78.22,15.64,28.4,100,75,9.17,broken clouds,0.0,0.0
115,Sept-Iles,CA,2020-04-18 03:17:42,50.2,-66.38,27.0,49,20,3.36,few clouds,0.0,0.0
116,Nemuro,JP,2020-04-18 03:17:42,43.32,145.57,59.0,26,20,11.41,few clouds,0.0,0.0
117,Vestmannaeyjar,IS,2020-04-18 03:17:42,63.44,-20.27,44.1,84,100,31.09,light rain,0.25,0.0
118,Avarua,CK,2020-04-18 03:14:18,-21.21,-159.78,80.6,69,10,4.7,clear sky,0.0,0.0
119,Ribeira Grande,PT,2020-04-18 03:14:32,38.52,-28.7,60.24,80,67,12.75,broken clouds,0.0,0.0
120,Esperance,AU,2020-04-18 03:17:39,-33.87,121.9,77.0,36,90,19.46,overcast clouds,0.0,0.0
121,Bengkulu,ID,2020-04-18 03:12:48,-3.8,102.27,84.81,68,77,4.85,light rain,1.58,0.0
122,Cozumel,MX,2020-04-18 03:17:43,20.51,-86.95,81.0,83,20,4.7,few clouds,0.0,0.0
123,Ancud,CL,2020-04-18 03:17:43,-41.87,-73.82,55.4,100,90,8.05,overcast clouds,0.0,0.0
124,Fukue,JP,2020-04-18 03:17:43,32.69,128.84,60.8,67,20,12.75,few clouds,0.0,0.0
125,Oda,JP,2020-04-18 03:17:44,35.18,132.5,55.4,87,75,8.05,light intensity shower rain,0.0,0.0
126,San Patricio,MX,2020-04-18 03:15:07,19.22,-104.7,75.92,61,100,8.93,overcast clouds,0.0,0.0
127,Airai,TL,2020-04-18 03:17:44,-8.93,125.41,73.24,52,94,4.32,overcast clouds,0.0,0.0
128,Calamar,CO,2020-04-18 03:17:44,10.25,-74.91,79.74,70,8,3.78,clear sky,0.0,0.0
129,Whitehorse,CA,2020-04-18 03:17:04,60.72,-135.05,51.8,40,75,8.05,broken clouds,0.0,0.0
130,Tuktoyaktuk,CA,2020-04-18 03:14:33,69.45,-133.04,14.0,92,90,12.75,light snow,0.0,0.0
