City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Inhambane,MZ,2020-04-15 05:21:12,-23.86,35.38,79.9,77,6,12.12
141,Bethel,US,2020-04-15 05:24:17,41.37,-73.41,50.0,76,90,4.7
142,Bengkulu,ID,2020-04-15 05:21:49,-3.8,102.27,83.84,75,94,2.82
143,Bilma,NE,2020-04-15 05:24:18,18.69,12.92,81.18,13,0,5.7
144,Norman Wells,CA,2020-04-15 05:22:51,65.28,-126.83,33.8,64,20,3.36
145,Kapit,MY,2020-04-15 05:24:18,2.02,112.93,94.69,48,33,1.01
146,Tra Vinh,VN,2020-04-15 05:24:18,9.93,106.35,91.74,49,60,13.4
147,Salvador,SV,2020-04-15 05:24:18,13.83,-88.92,80.6,83,20,4.7
148,Iskateley,RU,2020-04-15 05:24:19,67.68,53.15,32.0,98,59,12.44
149,Provideniya,RU,2020-04-15 05:24:19,64.38,-173.3,32.0,97,90,6.71
150,Emerald,AU,2020-04-15 05:24:19,-23.53,148.17,86.0,33,0,10.29
151,Vammala,FI,2020-04-15 05:24:19,61.33,22.9,39.2,90,90,9.17
152,Tukrah,LY,2020-04-15 05:24:20,32.53,20.58,76.53,29,100,11.74
153,Machali,CL,2020-04-15 05:24:20,-34.18,-70.67,61.7,24,64,1.16
154,Kolpashevo,RU,2020-04-15 05:24:20,58.31,82.91,45.41,87,94,4.61
155,Manaus,BR,2020-04-15 05:24:20,-3.1,-60.02,77.0,88,20,8.05
156,Ponta Delgada,PT,2020-04-15 05:24:21,37.73,-25.67,51.8,81,75,13.87
157,Wadi Musa,JO,2020-04-15 05:24:21,30.32,35.48,59.61,32,1,2.48
158,Smithers,CA,2020-04-15 05:24:21,54.78,-127.17,46.4,61,1,3.36
159,Itabira,BR,2020-04-15 05:24:21,-19.62,-43.23,62.13,75,61,2.86
160,Davydivka,UA,2020-04-15 05:24:21,48.12,25.56,39.99,10,18,11.61
161,Coahuayana,MX,2020-04-15 05:24:22,18.73,-103.68,70.52,68,77,2.35
162,Panzhihua,CN,2020-04-15 05:24:22,26.59,101.71,96.6,10,0,1.88
163,Akyab,MM,2020-04-15 05:24:22,20.15,92.9,88.45,50,0,10.89
164,Kapaa,US,2020-04-15 05:24:22,22.08,-159.32,75.2,94,40,2.98
165,Lewisporte,CA,2020-04-15 05:24:23,49.25,-55.05,35.6,93,5,11.41
166,Port Hedland,AU,2020-04-15 05:24:23,-20.32,118.57,96.8,37,83,10.29
167,Puerto Penasco,MX,2020-04-15 05:23:55,31.32,-113.53,73.0,21,0,8.01
168,Kangaatsiaq,GL,2020-04-15 05:24:23,68.31,-53.46,24.53,95,95,14.07
169,Pekalongan,ID,2020-04-15 05:24:23,-6.89,109.68,88.57,60,5,7.2
170,Port Shepstone,ZA,2020-04-15 05:24:24,-30.74,30.45,67.28,77,100,13.31
171,Saskylakh,RU,2020-04-15 05:24:24,71.92,114.08,1.27,91,99,10.56
172,Cayenne,GF,2020-04-15 05:24:24,4.93,-52.33,75.2,100,75,1.12
173,Victoria,HK,2020-04-15 05:20:24,22.29,114.16,78.01,53,20,8.05
174,Vuktyl,RU,2020-04-15 05:24:24,63.86,57.31,37.33,86,41,7.58
175,Pangnirtung,CA,2020-04-15 05:24:25,66.15,-65.71,9.7,83,92,7.83
176,Airai,TL,2020-04-15 05:21:31,-8.93,125.41,68.67,67,85,3.09
177,Pochutla,MX,2020-04-15 05:24:25,15.74,-96.47,77.0,82,100,7.0
178,Oxford,GB,2020-04-15 05:21:50,51.75,-1.26,37.4,83,96,1.12
179,Pevek,RU,2020-04-15 05:24:25,69.7,170.31,9.41,93,36,1.77
