City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Acapulco,MX,71.6,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
568,Canala,NC,71.6,scattered clouds,-21.53,165.95,Gite de Kuiné
572,Rongcheng,CN,72.07,overcast clouds,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
574,Maceio,BR,75.2,shower rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
575,Kabompo,ZM,84.47,clear sky,-13.59,24.2,Faroja City Iyindeko Cas-jay
579,Kloten,CH,71.01,overcast clouds,47.45,8.58,Ibis Zürich Messe Airport
582,Soyo,AO,84.2,broken clouds,-6.13,12.37,Hotel Mpampa
583,Miri,MY,84.2,broken clouds,4.41,114.01,"Mega Hotel, Miri"
591,Bairiki,KI,84.2,few clouds,1.33,172.98,Tarawa Boutique Hotel
594,Tabas,IR,78.8,scattered clouds,33.6,56.92,شرکت معماری مهراز شایگان آراد
605,Erzin,TR,78.8,scattered clouds,36.96,36.2,Artemis Otel
